RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
2187,2019_04_09 18:26:43,2.2359,-2.1182,7.6884,32.01,32.75,6.25,540,780
2188,2019_04_09 18:26:44,2.3144,-4.2757,10.1597,32.03,32.85,6.299,600,780
2189,2019_04_09 18:26:45,0.7061,0,8.1591,32.01,32.85,6.543,540,720
2190,2019_04_09 18:26:46,0.9807,-2.6674,8.5514,32.03,32.83,6.445,540,780
2191,2019_04_09 18:26:47,2.1967,-5.021,7.2177,32.03,32.97,6.348,600,720
2192,2019_04_09 18:26:48,-0.2746,-4.2757,8.1199,32.03,32.95,6.348,540,750
2193,2019_04_09 18:26:49,2.6282,-1.9221,8.2768,32.05,32.95,6.25,540,750
2194,2019_04_09 18:26:50,1.216,-2.2359,7.8845,32.05,32.97,6.201,540,720
2195,2019_04_09 18:26:51,1.8829,0.6276,7.7669,32.05,32.83,6.641,600,780
2196,2019_04_09 18:26:52,-3.7265,-6.5508,10.4735,32.03,32.91,6.006,540,720
2197,2019_04_09 18:26:53,1.4514,-2.079,8.1199,32.05,32.89,5.957,540,720
2198,2019_04_09 18:26:54,1.6867,-1.8829,8.1591,32.09,32.77,6.494,540,720
2199,2019_04_09 18:26:55,2.3144,-1.5298,7.5315,32.05,32.89,6.494,540,780
2200,2019_04_09 18:26:56,2.2359,-1.8044,9.2575,32.03,32.85,6.006,540,720
2201,2019_04_09 18:26:57,-0.1177,-0.5099,8.0415,32.03,32.99,6.201,600,720
2202,2019_04_09 18:26:58,0.353,-1.0591,7.7669,32.05,32.91,5.762,540,780
2203,2019_04_09 18:26:59,2.942,-5.2956,8.4729,32.03,32.95,5.566,540,720
2204,2019_04_09 18:27:00,5.1387,2.3928,8.6299,32.03,32.89,6.201,540,720
2205,2019_04_09 18:27:01,0.5492,-0.7453,7.8061,32.03,32.97,6.348,600,780
2206,2019_04_09 18:27:02,-0.6276,-0.1569,7.4138,32.05,32.83,6.055,540,720
2207,2019_04_09 18:27:03,1.726,-0.1569,8.316,32.03,32.91,5.664,540,780
2208,2019_04_09 18:27:04,2.432,-1.1376,9.2967,32.05,33.03,6.445,600,780
2209,2019_04_09 18:27:05,3.3343,-0.6669,7.61,32.03,32.97,6.006,540,720
2210,2019_04_09 18:27:06,1.1376,-0.6276,7.8453,32.03,33.03,6.396,600,780
2211,2019_04_09 18:27:07,1.2553,0.3923,7.6884,32.03,32.91,5.859,540,780
2212,2019_04_09 18:27:08,0.5099,-1.4514,7.1,32.05,32.99,6.055,540,720
2213,2019_04_09 18:27:09,2.7459,-1.4906,8.7083,32.05,33.05,6.396,600,780
2214,2019_04_09 18:27:10,2.4713,-3.5696,7.6492,32.05,32.99,5.957,540,780
2215,2019_04_09 18:27:11,0.1961,-3.3735,8.1591,32.03,32.89,6.836,600,720
2216,2019_04_09 18:27:12,2.4713,-2.7066,7.963,32.09,33.07,6.201,570,780
2217,2019_04_09 18:27:13,-0.5099,0.7061,7.8061,32.09,32.97,5.713,570,780
2218,2019_04_09 18:27:14,-0.1177,-3.0597,7.1785,32.09,32.99,6.055,570,780
2219,2019_04_09 18:27:15,0.3138,-1.216,7.6884,32.03,33.05,6.006,570,780
2220,2019_04_09 18:27:16,2.2359,-0.5492,8.826,32.05,33.03,5.713,570,720
2221,2019_04_09 18:27:17,-0.4707,-0.8238,7.3746,32.05,33.03,5.957,570,780
2222,2019_04_09 18:27:18,0.6276,0.6669,8.1199,32.05,33.07,6.055,570,780
2223,2019_04_09 18:27:19,-0.353,-0.353,8.0022,32.09,33.05,6.445,570,780
2224,2019_04_09 18:27:20,-0.4707,-0.8238,6.8647,32.05,33.03,6.445,600,720
2225,2019_04_09 18:27:21,1.2945,1.0983,8.3553,32.05,32.97,6.104,540,780
2226,2019_04_09 18:27:22,-0.0785,-1.6475,6.7862,32.05,32.91,6.104,570,780
2227,2019_04_09 18:27:23,0.3138,-1.6083,7.6884,32.05,32.95,6.152,570,720
2228,2019_04_09 18:27:24,3.2558,1.0591,7.4923,32.09,32.97,6.299,540,780
2229,2019_04_09 18:27:25,0.3923,-1.2553,7.8453,32.05,32.95,6.006,600,780
2230,2019_04_09 18:27:26,1.6867,0,8.3553,32.05,32.99,6.055,540,780
2231,2019_04_09 18:27:27,1.6475,-2.6282,8.3553,32.03,32.97,6.445,600,720
2232,2019_04_09 18:27:28,-0.1177,-2.079,7.5315,32.05,33.07,6.006,540,780
2233,2019_04_09 18:27:29,2.942,0.1569,8.6691,32.09,33.05,5.859,600,780
2234,2019_04_09 18:27:30,-0.863,-1.216,7.4531,32.05,32.99,6.445,540,720
2235,2019_04_09 18:27:31,1.4122,1.1768,8.3553,32.09,32.95,6.152,600,780
2236,2019_04_09 18:27:32,0.1961,-1.1768,8.4729,32.11,32.95,6.445,540,780
2237,2019_04_09 18:27:33,1.1768,-4.3542,8.3945,32.05,32.91,6.299,600,780
2238,2019_04_09 18:27:34,1.3729,1.7652,8.4729,32.05,33.03,6.592,540,720
2239,2019_04_09 18:27:35,2.6674,-0.8238,8.5122,32.03,32.97,6.348,600,780
2240,2019_04_09 18:27:36,0.6276,-0.6669,8.1591,32.09,33.13,6.104,540,780
2241,2019_04_09 18:27:37,0.2354,-0.9414,7.7276,32.09,32.97,6.152,600,750
2242,2019_04_09 18:27:38,2.4713,-4.7464,8.316,32.05,33.03,6.25,540,750
2243,2019_04_09 18:27:39,0.5492,-0.7845,7.7669,32.09,33.05,6.494,600,780
2244,2019_04_09 18:27:40,2.3144,-0.0392,8.7475,32.05,32.95,6.445,540,750
2245,2019_04_09 18:27:41,-2.3536,-4.4326,8.7475,32.03,32.99,6.592,540,750
2246,2019_04_09 18:27:42,0.1569,-2.079,8.0022,32.05,33.03,6.445,600,780
2247,2019_04_09 18:27:43,-0.5884,-2.0006,7.61,32.03,33.05,6.543,540,720
2248,2019_04_09 18:27:44,0.9414,1.0199,8.7868,32.09,32.95,6.348,600,780
2249,2019_04_09 18:27:45,-0.2354,-1.8829,8.0022,32.05,33.03,6.152,540,780
2250,2019_04_09 18:27:46,2.0398,-4.2757,8.1199,32.05,32.99,6.348,600,780
2251,2019_04_09 18:27:47,0.353,-2.432,8.1199,32.05,33.05,5.811,540,720
2252,2019_04_09 18:27:48,-0.7061,-0.6669,8.2768,32.05,33.07,6.396,600,780
2253,2019_04_09 18:27:49,2.5105,1.6867,6.3155,32.09,33.05,5.859,540,780
2254,2019_04_09 18:27:50,0.9022,-1.6475,7.8845,32.05,33.07,6.396,600,720
2255,2019_04_09 18:27:51,2.589,-0.863,8.7868,32.05,33.03,5.664,540,780
2256,2019_04_09 18:27:52,1.6867,-4.9033,8.7868,32.05,33.05,6.055,540,780
2257,2019_04_09 18:27:53,1.216,-2.5497,8.1984,32.05,32.95,6.152,600,720
2258,2019_04_09 18:27:54,3.1381,-2.8243,8.9044,32.05,33.05,6.543,540,780
2259,2019_04_09 18:27:55,2.589,-3.4519,8.1199,32.05,33.07,5.762,600,780
2260,2019_04_09 18:27:56,0.6669,-1.5298,7.7276,32.05,32.99,6.543,540,720
2261,2019_04_09 18:27:57,1.0591,-2.1182,7.61,32.05,33.05,6.299,600,780
2262,2019_04_09 18:27:58,1.4514,-1.8829,8.2376,32.05,33.11,6.445,540,780
