RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
4556,2019_04_10 17:29:39,0.5884,-1.216,8.316,32.31,32.91,7.129,480,660
4557,2019_04_10 17:29:40,2.3928,-0.2354,7.7669,32.33,33.03,6.689,420,600
4558,2019_04_10 17:29:41,1.4514,-1.0983,8.2376,32.33,32.97,7.813,480,600
4559,2019_04_10 17:29:42,0.1961,-1.8044,8.0807,32.33,32.99,6.885,480,630
4560,2019_04_10 17:29:43,1.726,-1.0983,7.9238,32.33,33.03,6.934,420,630
4561,2019_04_10 17:29:44,-0.1177,-2.0006,7.8061,32.35,33.03,7.275,480,600
4562,2019_04_10 17:29:45,1.0199,-1.8829,7.8845,32.35,33.03,7.275,480,600
4563,2019_04_10 17:29:46,1.6083,-1.3729,8.1984,32.31,33.03,6.982,420,660
4564,2019_04_10 17:29:47,-0.5492,-0.9414,7.5707,32.31,32.99,6.982,480,600
4565,2019_04_10 17:29:48,0,-0.7061,7.7276,32.33,33.05,7.031,480,600
4566,2019_04_10 17:29:49,1.4122,-0.863,8.0415,32.33,32.99,7.715,420,600
4567,2019_04_10 17:29:50,0.1177,-0.9807,7.8453,32.35,33.05,6.592,480,660
4568,2019_04_10 17:29:51,2.3928,-1.0983,7.7669,32.35,32.99,6.641,420,600
4569,2019_04_10 17:29:52,1.6475,-0.5099,8.3945,32.33,32.99,7.08,480,600
4570,2019_04_10 17:29:53,-0.1569,-0.5492,8.0807,32.35,33.07,7.52,420,600
4571,2019_04_10 17:29:54,2.0006,-2.3144,8.0415,32.33,33.05,7.227,480,600
4572,2019_04_10 17:29:55,2.589,-1.4122,8.0415,32.31,32.99,6.982,420,600
4573,2019_04_10 17:29:56,-0.1569,-1.1376,7.7276,32.31,33.05,6.787,480,600
4574,2019_04_10 17:29:57,2.0006,-1.1768,8.316,32.31,33.05,7.031,420,630
4575,2019_04_10 17:29:58,1.1768,-0.3138,8.0022,32.33,33.05,7.91,480,630
4576,2019_04_10 17:29:59,2.0006,0.0392,8.316,32.33,32.99,6.836,420,600
4577,2019_04_10 17:30:00,0.5492,-0.6276,7.9238,32.31,32.99,6.494,480,600
4578,2019_04_10 17:30:01,1.9613,-2.0398,7.963,32.33,32.99,7.52,420,600
