RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
5202,2019_04_12 18:08:52,2.3928,-1.3337,8.2768,32.43,33.13,5.273,660,900
5203,2019_04_12 18:08:53,2.1575,-0.5099,7.8453,32.45,33.17,5.371,690,900
5204,2019_04_12 18:08:54,0.1569,-0.1569,8.1591,32.39,33.25,5.273,690,900
5205,2019_04_12 18:08:55,2.1182,-0.353,7.9238,32.41,33.25,5.029,660,960
5206,2019_04_12 18:08:56,1.9221,2.1967,8.3945,32.43,33.17,5.127,660,900
5207,2019_04_12 18:08:57,-0.3923,-1.6867,7.6884,32.43,33.21,5.566,660,900
5208,2019_04_12 18:08:58,1.0983,-3.2166,7.8845,32.43,33.29,5.273,660,900
5209,2019_04_12 18:08:59,2.6674,-1.1376,7.9238,32.43,33.27,5.615,720,900
5210,2019_04_12 18:09:00,1.6475,-3.0204,7.6492,32.45,33.21,5.127,660,900
5211,2019_04_12 18:09:01,2.3144,-1.7652,9.179,32.43,33.27,6.055,660,900
5212,2019_04_12 18:09:02,1.5298,0.5884,8.0807,32.45,33.17,5.322,660,900
5213,2019_04_12 18:09:03,0.863,-1.8437,8.0415,32.41,33.25,4.932,660,900
5214,2019_04_12 18:09:04,2.079,-3.0204,7.8845,32.45,33.25,5.908,690,900
5215,2019_04_12 18:09:05,0.9807,-2.7066,7.8453,32.45,33.19,4.98,690,930
5216,2019_04_12 18:09:06,1.5691,-1.2945,7.7276,32.41,33.21,5.762,660,930
5217,2019_04_12 18:09:07,0.9807,-5.2956,7.7276,32.43,33.21,5.469,660,900
5218,2019_04_12 18:09:08,-0.1569,2.589,8.1199,32.43,33.25,5.615,660,900
5219,2019_04_12 18:09:09,-0.0785,-0.7845,7.8453,32.43,33.21,5.322,660,900
5220,2019_04_12 18:09:10,0.2746,2.6674,7.963,32.45,33.13,6.006,690,900
5221,2019_04_12 18:09:11,1.9613,0.7453,7.9238,32.43,33.19,5.469,690,900
5222,2019_04_12 18:09:12,0.5492,1.0591,8.2376,32.43,33.21,4.932,660,900
5223,2019_04_12 18:09:13,0.1961,2.0398,7.7276,32.43,33.21,5.273,660,900
5224,2019_04_12 18:09:14,3.4127,-3.7265,7.8061,32.45,33.29,5.371,660,900
5225,2019_04_12 18:09:15,0.7453,-2.7459,7.7276,32.41,33.27,5.469,660,900
5226,2019_04_12 18:09:16,2.1575,-1.5298,7.4923,32.43,33.19,5.908,660,900
5227,2019_04_12 18:09:17,2.7066,1.0591,8.6299,32.45,33.29,5.615,690,900
5228,2019_04_12 18:09:18,1.1768,-3.1774,8.0022,32.41,33.25,5.273,690,900
5229,2019_04_12 18:09:19,1.0591,1.6475,8.5906,32.43,33.17,5.713,660,900
5230,2019_04_12 18:09:20,1.3337,-2.1182,8.1199,32.41,33.25,5.713,660,900
5231,2019_04_12 18:09:21,0.5884,1.8044,8.4337,32.43,33.27,4.932,660,900
5232,2019_04_12 18:09:22,2.4713,-0.5884,7.4138,32.45,33.21,5.664,660,900
5233,2019_04_12 18:09:23,2.0398,-5.1779,8.0807,32.45,33.27,5.615,660,900
5234,2019_04_12 18:09:24,1.3337,-2.7459,7.8453,32.43,33.29,5.127,660,900
5235,2019_04_12 18:09:25,-0.0785,-2.1575,8.0807,32.43,33.13,5.371,660,900
5272,2019_04_12 18:51:21,1.5298,-3.0989,8.826,32.21,31.83,6.152,750,930
5273,2019_04_12 18:51:24,1.4906,-2.5497,7.8061,32.23,31.89,6.006,660,960
5274,2019_04_12 18:51:25,0.5099,-0.8238,7.5315,32.23,31.89,6.006,720,900
5275,2019_04_12 18:51:26,4.3934,-1.1376,8.2376,32.23,31.85,6.055,660,960
5276,2019_04_12 18:51:27,1.4514,-0.5492,7.6492,32.23,31.85,6.592,720,900
5277,2019_04_12 18:51:28,0.3138,2.7851,8.0415,32.23,31.91,5.908,660,960
5278,2019_04_12 18:51:29,2.4713,-1.216,8.0415,32.23,31.95,5.664,720,900
5279,2019_04_12 18:51:30,1.1376,-2.3536,8.0415,32.23,31.91,6.055,660,960
5280,2019_04_12 18:51:31,0.5884,-0.863,7.963,32.21,31.91,5.957,720,900
5281,2019_04_12 18:51:32,4.2757,-2.5497,8.5906,32.23,31.91,5.859,660,960
5282,2019_04_12 18:51:33,-1.0199,-0.9414,7.1392,32.23,31.95,6.201,720,900
5283,2019_04_12 18:51:34,0.7845,-0.9807,8.2376,32.21,31.95,5.615,660,960
5284,2019_04_12 18:51:35,2.6674,-4.2365,8.316,32.21,31.95,5.615,690,900
5285,2019_04_12 18:51:36,1.4514,-3.295,8.0022,32.21,31.97,5.615,690,960
5286,2019_04_12 18:51:37,3.0989,-3.3735,7.1392,32.21,31.99,5.957,690,900
5287,2019_04_12 18:51:38,-0.4315,3.0597,8.3553,32.23,31.97,6.201,690,960
5288,2019_04_12 18:51:39,1.1768,-0.5099,8.6299,32.21,31.97,5.859,660,900
5289,2019_04_12 18:51:40,2.0006,0.7453,8.5906,32.21,31.97,5.615,720,960
5290,2019_04_12 18:51:41,0.0392,-0.1961,7.7276,32.21,31.99,6.592,660,900
5291,2019_04_12 18:51:42,2.6674,2.432,8.826,32.21,32.09,6.299,720,960
5292,2019_04_12 18:51:43,-0.863,-0.3923,7.5707,32.19,32.05,5.713,660,900
5293,2019_04_12 18:51:44,1.216,-1.4906,7.4923,32.23,32.05,6.25,720,960
5294,2019_04_12 18:51:45,5.021,0.353,8.6691,32.21,31.97,5.859,660,900
5295,2019_04_12 18:51:46,3.9227,-3.2166,7.6884,32.21,32.11,6.006,720,960
5296,2019_04_12 18:51:47,-0.2746,0.1177,7.5315,32.17,31.99,5.615,660,900
5297,2019_04_12 18:51:48,-1.2945,-4.9033,6.6293,32.19,32.05,5.566,690,900
5298,2019_04_12 18:51:49,-1.4514,0.863,8.5122,32.21,32.05,6.055,690,960
5299,2019_04_12 18:51:50,4.3149,-5.6486,7.4923,32.21,32.09,6.348,660,900
5300,2019_04_12 18:51:51,-0.1961,4.6287,8.6691,32.19,32.05,5.908,720,960
5301,2019_04_12 18:51:52,3.7658,-6.5901,7.963,32.19,32.05,6.201,660,900
5302,2019_04_12 18:51:53,1.0199,-1.8437,8.316,32.21,32.13,6.104,660,900
5303,2019_04_12 18:51:54,-0.2354,1.3729,7.8061,32.21,32.09,6.104,720,960
5304,2019_04_12 18:51:55,3.6088,-1.8044,8.316,32.21,32.09,5.762,660,900
5305,2019_04_12 18:51:56,-0.9807,1.0199,7.6884,32.19,32.11,5.518,720,960
5306,2019_04_12 18:51:57,1.3337,2.942,8.9829,32.19,32.09,5.713,660,900
5307,2019_04_12 18:51:58,3.6873,-3.9227,7.1392,32.21,32.11,5.957,690,930
5308,2019_04_12 18:51:59,2.6674,-2.7459,7.4531,32.17,32.09,6.25,690,930
5309,2019_04_12 18:52:00,2.079,-3.0204,8.1984,32.19,32.13,6.396,660,900
5310,2019_04_12 18:52:01,0.353,0.1569,7.9238,32.17,32.11,6.055,720,960
5311,2019_04_12 18:52:02,2.9812,-2.7066,8.6299,32.17,32.05,5.859,660,900
5312,2019_04_12 18:52:03,1.9613,-3.7658,7.7669,32.19,32.11,5.469,720,960
5313,2019_04_12 18:52:04,1.1768,3.2558,8.8652,32.15,32.09,6.299,660,900
5314,2019_04_12 18:52:05,0.1569,-1.1376,8.2376,32.19,32.11,6.396,660,900
5315,2019_04_12 18:52:06,2.3144,-3.6088,7.8061,32.17,32.13,5.469,720,960
5316,2019_04_12 18:52:07,-0.6276,-2.6674,7.2177,32.19,32.13,5.566,660,900
5317,2019_04_12 18:52:08,-0.7061,-0.5884,7.2177,32.17,32.09,5.566,690,960
5318,2019_04_12 18:52:09,0.0785,-0.8238,8.316,32.19,32.13,5.713,690,900
5319,2019_04_12 18:52:10,2.9812,-2.1182,8.5906,32.19,32.13,5.469,660,900
5320,2019_04_12 18:52:11,0.5492,-2.7851,7.6492,32.19,32.19,5.615,720,960
5321,2019_04_12 18:52:12,3.295,0.1177,8.5122,32.15,32.17,5.713,660,900
5322,2019_04_12 18:52:13,1.9221,-0.0785,8.5514,32.17,32.13,5.859,690,960
5323,2019_04_12 18:52:14,0.0785,-1.0591,7.4138,32.19,32.17,6.006,690,900
5324,2019_04_12 18:52:15,1.4122,-4.158,7.8453,32.15,32.17,5.859,660,900
5325,2019_04_12 18:52:16,0.6669,-2.4713,7.8453,32.15,32.13,5.713,720,960
5326,2019_04_12 18:52:17,-0.6276,-1.3337,7.4531,32.21,32.25,5.664,660,900
5327,2019_04_12 18:52:18,-1.0199,-5.6094,6.8647,32.17,32.25,5.713,660,930
5328,2019_04_12 18:52:19,1.3337,-2.0398,8.5122,32.17,32.21,5.664,720,930
5329,2019_04_12 18:52:20,0.2746,-0.353,7.6884,32.17,32.27,5.811,660,900
5330,2019_04_12 18:52:21,0.3923,-2.589,8.316,32.17,32.21,5.811,720,960
5331,2019_04_12 18:52:22,1.0983,1.4514,8.1591,32.17,32.27,5.859,660,900
5332,2019_04_12 18:52:23,0.5884,-0.3923,8.0807,32.15,32.21,5.908,660,960
5333,2019_04_12 18:52:24,3.0597,-4.0796,7.8453,32.19,32.19,6.25,720,900
5334,2019_04_12 18:52:25,-0.0392,-3.0989,7.9238,32.15,32.19,6.201,660,900
5335,2019_04_12 18:52:26,0.3138,0.0392,8.0415,32.17,32.19,5.42,720,960
5336,2019_04_12 18:52:27,-0.1961,-3.9227,7.8453,32.19,32.21,5.42,660,900
5337,2019_04_12 18:52:28,0.1569,-0.0392,7.7669,32.21,32.31,5.811,660,900
5338,2019_04_12 18:52:29,3.9619,-1.0199,8.2768,32.17,32.21,5.664,720,960
5339,2019_04_12 18:52:30,0.9022,-0.5492,7.6492,32.15,32.19,5.664,660,900
5340,2019_04_12 18:52:31,0.6276,-2.6282,8.1984,32.21,32.33,6.055,660,900
5341,2019_04_12 18:52:32,-0.0392,3.5304,8.5122,32.21,32.31,6.104,720,960
5342,2019_04_12 18:52:33,4.0796,-1.3337,7.5707,32.19,32.27,5.762,660,900
5343,2019_04_12 18:52:34,0.4315,0.0785,8.5514,32.19,32.27,5.176,690,900
5344,2019_04_12 18:52:35,1.1768,-1.3337,8.316,32.19,32.25,5.469,690,960
5345,2019_04_12 18:52:36,3.7265,-1.9221,8.2376,32.15,32.21,5.859,660,900
5346,2019_04_12 18:52:37,0.8238,-3.5696,8.316,32.19,32.27,5.664,690,900
5347,2019_04_12 18:52:38,2.1182,0.6669,8.5906,32.19,32.21,5.566,690,960
5348,2019_04_12 18:52:39,4.3542,-2.432,8.0415,32.19,32.35,5.762,660,900
