RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM,,
140,2019_04_08 14:59:39,2.8243,-2.589,7.6492,31.73,32.03,7.568,780,840,,
141,2019_04_08 14:59:39,1.6867,-1.4514,8.1199,31.67,32.09,8.301,780,780,,
142,2019_04_08 14:59:40,-0.863,-1.726,7.5707,31.69,32.13,8.545,810,840,,
143,2019_04_08 14:59:41,3.2166,-1.0199,9.179,31.71,32.17,7.471,810,780,,
144,2019_04_08 14:59:41,0.863,0.3138,7.8061,31.69,32.03,7.617,720,780,,
145,2019_04_08 14:59:42,-0.7845,0.0392,8.3945,31.69,32.05,8.008,780,840,,
146,2019_04_08 14:59:42,1.0591,-1.1768,7.9238,31.71,32.09,8.496,780,780,,
147,2019_04_08 14:59:43,1.2945,-0.9807,8.1591,31.71,31.95,8.398,780,780,,
148,2019_04_08 14:59:43,0.353,-0.9807,7.7276,31.73,32.03,8.203,780,840,,
149,2019_04_08 14:59:44,-1.8829,-0.5099,7.9238,31.73,32.09,7.275,1080,780,,
150,2019_04_08 14:59:45,2.9028,-2.7851,8.1984,31.71,31.99,7.764,120,780,,
151,2019_04_08 14:59:46,0.2354,-2.432,8.316,31.71,31.99,7.422,840,780,,
152,2019_04_08 14:59:47,3.7265,-1.4514,8.5122,31.71,32.13,7.373,780,810,,
153,2019_04_08 14:59:48,0.0785,-3.0597,8.7475,31.69,32.05,7.52,780,810,,
154,2019_04_08 14:59:49,-0.2746,-0.5884,7.8453,31.73,32.03,7.617,780,780,,
155,2019_04_08 14:59:50,3.6481,-2.8243,8.0415,31.71,32.13,8.203,780,780,,
156,2019_04_08 14:59:51,4.6287,-2.2751,9.6105,31.69,32.05,7.959,780,780,,
157,2019_04_08 14:59:52,0.0392,-1.726,7.8453,31.71,32.05,8.203,900,780,,
158,2019_04_08 14:59:53,0.3923,-1.726,7.4923,31.71,32.09,7.227,900,780,,
159,2019_04_08 14:59:54,1.0591,-2.8243,7.5315,31.73,32.19,7.715,1020,780,,
160,2019_04_08 14:59:55,0.9022,-3.4912,7.9238,31.69,32.11,8.105,960,780,,
161,2019_04_08 14:59:56,0.5492,-1.0199,7.9238,31.71,32.09,7.666,720,780,,
162,2019_04_08 14:59:57,4.7464,-0.353,8.5514,31.69,32.17,8.154,780,780,,
163,2019_04_08 14:59:58,0.1961,0.0392,8.6299,31.69,32.17,8.252,960,780,,
164,2019_04_08 14:59:59,-1.726,-1.1768,7.1392,31.69,32.19,7.275,960,780,,
165,2019_04_08 15:00:00,0.7845,-3.0597,7.8061,31.71,32.17,7.52,600,780,,
166,2019_04_08 15:00:01,0.3138,-1.1768,7.1392,31.71,32.13,7.129,780,780,,
167,2019_04_08 15:00:02,0.5492,-1.0983,7.5707,31.71,32.11,7.813,780,780,,
168,2019_04_08 15:00:03,1.4122,-3.9227,8.2376,31.69,32.11,7.031,780,780,,
169,2019_04_08 15:00:04,-1.8829,-1.9613,7.3746,31.69,32.19,8.105,720,780,,
170,2019_04_08 15:00:05,1.726,-0.1177,7.8453,31.69,32.19,7.959,780,780,,
171,2019_04_08 15:00:06,2.6282,-0.4707,7.6492,31.71,32.21,8.057,840,780,,
172,2019_04_08 15:00:07,0.4315,-0.863,7.61,31.71,32.31,7.324,720,780,,
247,2019_04_08 15:01:23,2.0398,-1.1376,8.2376,31.83,32.71,6.885,1260,720,,
248,2019_04_08 15:01:23,0.3138,-0.8238,8.0807,31.81,32.67,7.422,1260,720,,
249,2019_04_08 15:01:25,-0.2354,-0.4315,7.963,31.87,32.69,7.129,900,720,,
250,2019_04_08 15:01:25,1.7652,0.6276,8.4337,31.81,32.63,6.934,1080,720,,
251,2019_04_08 15:01:27,2.3928,-1.6475,8.5514,31.81,32.67,7.373,1140,720,,
252,2019_04_08 15:01:27,-0.3923,-0.6669,7.7669,31.87,32.69,7.422,960,720,,
253,2019_04_08 15:01:29,3.9619,-1.2553,8.9044,31.87,32.67,7.373,1200,720,,
254,2019_04_08 15:01:30,1.8044,-1.4906,7.963,31.83,32.61,7.227,1260,720,,
255,2019_04_08 15:01:31,4.7856,-3.1774,8.9437,31.87,32.63,7.422,1080,720,,
256,2019_04_08 15:01:32,-0.863,-1.0983,7.9238,31.83,32.63,7.666,660,690,,
258,2019_04_08 15:01:34,0.6669,-0.7453,8.5514,31.87,32.61,7.568,1140,720,,
259,2019_04_08 15:01:35,-0.2354,-1.4906,8.0022,31.87,32.63,6.689,1080,720,,
260,2019_04_08 15:01:36,1.1768,-0.3923,8.0022,31.87,32.67,7.666,600,720,,
262,2019_04_08 15:01:38,0.3138,-3.3343,7.9238,31.87,32.69,7.422,780,720,,
263,2019_04_08 15:01:39,-0.5884,-0.353,7.963,31.87,32.71,6.885,780,690,,
264,2019_04_08 15:01:40,0.9022,-0.9414,7.8453,31.87,32.71,7.129,720,690,,
266,2019_04_08 15:01:42,-0.4315,-0.9414,7.4531,31.87,32.61,7.227,1020,720,,
267,2019_04_08 15:01:43,1.0591,-1.3729,8.0415,31.89,32.69,7.617,720,660,,
268,2019_04_08 15:01:44,0.0392,-1.6867,7.963,31.89,32.67,7.275,870,720,,
269,2019_04_08 15:01:45,-1.1376,-0.3138,7.5707,31.83,32.71,6.934,990,720,,
270,2019_04_08 15:01:46,3.6873,-1.9613,8.4337,31.87,32.69,6.836,1080,660,,
271,2019_04_08 15:01:47,2.1182,-3.2558,8.2768,31.83,32.61,6.592,960,720,,
272,2019_04_08 15:01:48,0.6669,-2.3536,7.7276,31.87,32.67,6.738,1080,690,,
273,2019_04_08 15:01:49,0.0785,-2.1575,7.3354,31.87,32.63,7.52,1320,690,,
274,2019_04_08 15:01:50,-0.0785,-2.2359,7.6884,31.87,32.71,7.422,720,720,,
275,2019_04_08 15:01:51,0.353,-3.1774,7.6492,31.89,32.83,7.666,1140,660,,
276,2019_04_08 15:01:52,1.3729,-1.8437,7.4923,31.89,32.71,7.617,1440,720,,
277,2019_04_08 15:01:53,3.0204,-1.3729,8.4337,31.89,32.71,7.471,600,690,,
301,2019_04_08 15:02:17,0.2354,-1.7652,7.5707,31.95,32.77,7.08,720,660,,
302,2019_04_08 15:02:18,2.079,-1.6083,8.316,31.93,32.77,7.275,660,720,,
303,2019_04_08 15:02:19,0.3138,-1.2553,7.7669,31.91,32.91,7.373,660,660,,
304,2019_04_08 15:02:20,1.7652,-1.4122,8.3553,31.97,32.91,7.178,660,720,,
305,2019_04_08 15:02:21,1.5691,-2.7459,7.6492,31.93,32.77,7.471,720,660,,
306,2019_04_08 15:02:22,0.9022,-2.1575,7.5315,31.93,32.85,6.689,660,690,,
307,2019_04_08 15:02:23,-0.2354,-2.1575,7.8061,31.93,32.77,7.52,660,690,,
