RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
6522,2019_04_12 23:14:58,1.216,-0.0785,7.6884,32.05,32.31,5.225,720,960
6523,2019_04_12 23:14:59,1.1376,-3.2166,7.7276,32.05,32.21,5.322,660,900
6524,2019_04_12 23:15:00,0.3923,0.7845,8.0022,32.05,32.21,5.371,720,960
6525,2019_04_12 23:15:01,1.9613,-4.3934,7.2961,32.01,32.17,5.371,720,900
6526,2019_04_12 23:15:02,1.0591,0.1569,7.9238,32.05,32.31,5.322,660,960
6527,2019_04_12 23:15:03,0.2354,-3.9619,7.61,32.11,32.33,5.225,720,960
6528,2019_04_12 23:15:04,0.5884,-2.1967,7.6492,32.05,32.21,5.322,660,900
6529,2019_04_12 23:15:05,0.0392,-1.6475,7.5315,32.05,32.31,5.176,720,960
6530,2019_04_12 23:15:06,-0.4315,-1.5298,8.316,32.03,32.33,5.469,720,900
6531,2019_04_12 23:15:07,-0.0785,-1.726,6.9823,32.09,32.33,5.908,660,960
6532,2019_04_12 23:15:08,0.5492,1.2945,8.4337,32.09,32.33,5.811,720,960
6533,2019_04_12 23:15:09,0.5884,-2.7851,7.1785,32.09,32.33,5.371,690,900
6534,2019_04_12 23:15:10,2.2359,-4.2757,7.4923,32.09,32.33,5.322,690,960
6535,2019_04_12 23:15:11,0.4315,-1.5298,7.8061,32.09,32.31,5.176,720,900
6536,2019_04_12 23:15:12,2.8635,-0.1177,8.2376,32.09,32.33,5.273,660,960
6537,2019_04_12 23:15:13,0.1961,-1.0983,7.7276,32.09,32.33,5.273,720,960
6538,2019_04_12 23:15:14,-0.7453,-3.6481,7.5315,32.09,32.27,5.42,720,900
6539,2019_04_12 23:15:15,0.9022,-3.0989,7.4138,32.05,32.33,5.566,660,960
6540,2019_04_12 23:15:16,1.0591,-1.3337,7.3746,32.09,32.35,5.469,720,900
6541,2019_04_12 23:15:17,-0.7453,-3.6088,7.1785,32.09,32.39,5.127,660,960
6542,2019_04_12 23:15:18,1.6475,1.9221,7.9238,32.03,32.33,5.664,720,900
6543,2019_04_12 23:15:19,0.2746,-0.8238,7.7276,32.09,32.31,5.615,720,960
6544,2019_04_12 23:15:20,1.9613,0.0785,7.8845,32.05,32.31,5.615,660,960
6545,2019_04_12 23:15:21,0.3923,-1.5298,7.7669,32.05,32.39,5.859,720,900
