RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
7133,2019_04_13 00:37:26,1.8437,-0.0785,8.1199,32.95,33.43,6.006,540,720
7134,2019_04_13 00:37:27,0.6669,-0.9807,7.8845,32.99,33.43,5.762,540,780
7135,2019_04_13 00:37:28,3.0597,-2.7459,7.5707,32.95,33.51,6.543,540,720
7136,2019_04_13 00:37:29,0.9022,-3.3735,7.8845,32.93,33.39,5.664,540,720
7137,2019_04_13 00:37:30,3.5696,-2.9028,8.7868,32.95,33.39,5.957,570,780
7138,2019_04_13 00:37:31,0.8238,0.8238,7.9238,32.95,33.39,6.396,570,720
7139,2019_04_13 00:37:32,2.079,-1.1768,8.6299,32.93,33.41,6.641,540,720
7140,2019_04_13 00:37:33,2.8635,-2.1575,8.4337,32.99,33.41,5.811,540,720
7141,2019_04_13 00:37:34,1.4906,0,7.4923,32.99,33.41,5.908,540,780
7142,2019_04_13 00:37:35,-1.3337,-0.1961,7.8061,32.95,33.47,6.299,540,720
7143,2019_04_13 00:37:36,2.8243,-1.4514,8.5122,33.01,33.35,5.908,540,720
7144,2019_04_13 00:37:37,1.5691,-2.5105,8.7475,32.99,33.57,6.25,540,750
7145,2019_04_13 00:37:38,-0.1177,0.5099,7.963,32.99,33.39,5.859,600,750
7146,2019_04_13 00:37:39,3.6873,-2.432,8.5514,32.99,33.35,6.104,540,720
7147,2019_04_13 00:37:40,-0.4707,-1.8829,7.1392,32.99,33.55,5.908,540,720
7148,2019_04_13 00:37:41,2.7851,-2.9812,8.5906,32.95,33.47,5.713,540,780
7149,2019_04_13 00:37:42,-2.589,1.1768,6.7077,32.95,33.41,5.859,540,720
7150,2019_04_13 00:37:43,0.1569,-2.7459,7.4531,32.99,33.43,6.299,540,720
7151,2019_04_13 00:37:44,-1.0983,0.1569,6.7862,32.99,33.41,5.566,540,720
7152,2019_04_13 00:37:45,0.2746,-1.1376,8.0415,32.95,33.35,5.859,600,780
7153,2019_04_13 00:37:46,-0.8238,-0.3138,7.7669,32.99,33.33,6.104,540,720
7154,2019_04_13 00:37:47,1.2553,1.0199,8.2768,32.95,33.41,5.762,540,720
7155,2019_04_13 00:37:48,1.1376,-3.6873,8.5122,32.99,33.47,6.201,540,720
7156,2019_04_13 00:37:49,0.7845,-0.5884,7.4923,33.01,33.41,6.104,540,780
7157,2019_04_13 00:37:50,3.1381,-0.4707,8.4337,33.03,33.39,6.104,540,720
7158,2019_04_13 00:37:51,4.7464,-2.2751,7.8061,32.95,33.39,5.859,540,720
7159,2019_04_13 00:37:52,1.216,0.4315,8.826,32.99,33.49,5.713,570,750
7160,2019_04_13 00:37:53,-0.9022,-1.0199,7.2177,32.99,33.41,6.006,570,750
7161,2019_04_13 00:37:54,2.432,-1.0591,8.5122,32.99,33.41,6.299,540,720
7162,2019_04_13 00:37:55,-1.3337,0.0785,7.6884,33.01,33.61,6.104,540,720
7163,2019_04_13 00:37:56,2.942,-4.668,8.1984,32.95,33.51,6.543,540,780
7164,2019_04_13 00:37:57,2.8243,-1.3337,8.1984,32.99,33.49,5.713,540,720
7165,2019_04_13 00:37:58,-0.9414,-0.0392,7.4923,32.99,33.43,5.811,540,720
7166,2019_04_13 00:37:59,0.8238,-1.3337,7.6884,32.95,33.43,6.494,540,720
7167,2019_04_13 00:38:01,-0.1177,0.3923,7.7669,32.95,33.47,5.762,540,720
7168,2019_04_13 00:38:01,3.7658,-1.3729,8.9044,32.99,33.57,6.104,570,780
7169,2019_04_13 00:38:02,0.1961,-0.7061,7.8453,32.95,33.57,6.201,570,720
7170,2019_04_13 00:38:03,2.0006,-3.3735,8.316,32.99,33.63,5.859,540,720
7171,2019_04_13 00:38:04,2.0006,-2.8635,8.5514,32.95,33.61,6.201,540,720
7172,2019_04_13 00:38:05,-1.1376,-4.4326,6.9039,33.01,33.43,6.396,540,720
7173,2019_04_13 00:38:06,-0.1569,-0.7061,7.5315,32.99,33.47,5.957,540,780
7174,2019_04_13 00:38:07,-0.863,-1.3337,7.4923,33.01,33.51,6.641,540,720
7175,2019_04_13 00:38:08,0.7453,-3.8442,8.826,32.99,33.55,6.25,540,720
7176,2019_04_13 00:38:09,2.432,-2.0398,8.5906,32.99,33.55,6.641,540,720
7177,2019_04_13 00:38:10,-0.1961,-1.6867,7.4531,33.03,33.63,6.543,540,720
7178,2019_04_13 00:38:11,2.9812,-5.5702,7.0216,33.01,33.57,6.494,540,720
7179,2019_04_13 00:38:12,3.2558,-2.5497,8.4729,32.99,33.57,6.348,540,780
7180,2019_04_13 00:38:13,0.4315,0.6276,7.6884,33.01,33.63,5.811,540,720
7181,2019_04_13 00:38:14,0.9807,-1.3729,7.1785,32.99,33.69,6.25,540,720
7182,2019_04_13 00:38:15,3.2166,-2.2359,7.8061,33.01,33.71,5.762,540,720
7183,2019_04_13 00:38:16,1.726,-2.1575,7.7669,32.99,33.47,5.859,570,720
7184,2019_04_13 00:38:17,-0.1177,-1.6867,7.6492,32.99,33.49,6.396,540,720
7185,2019_04_13 00:38:18,2.432,-1.5691,8.3945,33.01,33.61,6.348,570,720
7186,2019_04_13 00:38:19,-0.9807,-0.3923,8.5906,33.01,33.63,5.762,540,750
7187,2019_04_13 00:38:20,2.3144,-3.3735,7.4923,33.03,33.61,6.445,540,750
7188,2019_04_13 00:38:21,-2.1182,-1.8437,8.316,33.03,33.63,6.201,540,720
7189,2019_04_13 00:38:22,-2.3928,-4.4326,8.5514,33.01,33.61,6.104,540,720
7190,2019_04_13 00:38:23,0.3138,-0.9807,7.8453,33.03,33.63,5.664,540,720
7191,2019_04_13 00:38:24,2.432,-1.4514,8.5122,33.03,33.47,5.811,540,720
7192,2019_04_13 00:38:25,2.1967,-0.6669,8.0022,33.01,33.51,6.396,540,720
7193,2019_04_13 00:38:27,1.0983,-2.0398,7.61,33.01,33.47,5.811,540,720
7194,2019_04_13 00:38:27,2.3928,0.0392,8.5514,33.01,33.61,6.055,540,780
7195,2019_04_13 00:38:29,0.1961,0.7845,8.0415,33.03,33.61,5.908,540,720
7196,2019_04_13 00:38:29,-0.1177,-0.3923,8.0415,33.01,33.61,5.811,540,720
7197,2019_04_13 00:38:31,-0.8238,2.1575,7.8061,33.01,33.57,5.957,540,720
7198,2019_04_13 00:38:31,1.2553,-3.0204,7.8453,33.01,33.57,6.104,540,720
7199,2019_04_13 00:38:33,2.3144,-3.295,8.9437,32.99,33.55,5.42,540,720
7200,2019_04_13 00:38:33,1.3337,-1.5691,8.2376,33.01,33.57,5.713,540,720
7201,2019_04_13 00:38:35,1.0983,-1.7652,8.6691,32.99,33.61,5.566,540,720
7202,2019_04_13 00:38:35,1.1768,-0.7061,8.1199,33.01,33.63,5.615,540,720
7203,2019_04_13 00:38:37,2.9028,1.3337,8.2768,33.03,33.65,6.494,540,720
7204,2019_04_13 00:38:37,1.1376,1.4906,8.6691,33.05,33.65,5.664,540,720
7205,2019_04_13 00:38:39,2.7851,-0.6669,8.316,33.03,33.61,5.615,510,720
7206,2019_04_13 00:38:39,0.7453,-1.8044,8.0415,33.03,33.63,6.201,510,720
7207,2019_04_13 00:38:41,-0.0785,-1.0199,7.2177,33.05,33.63,6.25,540,720
7208,2019_04_13 00:38:41,1.8829,-0.7453,8.4337,33.01,33.69,6.299,540,720
7209,2019_04_13 00:38:43,1.4122,-2.2751,8.4729,33.05,33.71,6.201,540,720
7210,2019_04_13 00:38:43,1.6083,-1.6083,8.0022,33.05,33.77,5.615,540,720
